Specific_Name,UUID,Name (en),Name_Similarity,Year_Match,Unit_Match,Final_Score
Asphalttragschicht - Hochbau,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
"Balkenschichtholz Nadelholz - unbeschichtet, naturbelassen",8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Brettsperrholz,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Konstruktionsvollholz - naturbelassen,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Beton - Carbonfasern / Textilbeton ,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Bitumenbahnen mit Alu oder Kupfer,783ffd49-9dfc-42fe-bfe4-16eae46efa10,Drinking water pipe PE-X-Alu,0.19747493932146443,1,1,0.3789899757285858
Polymer-Bitumenabdichtungsbahn,2676fb36-11ba-495a-90bd-fa914d6e949f,Liquid plastics for waterproofing buildings based on silane-modified polymer,0.23630243402496348,1,1,0.3945209736099854
Elastomer-Dachbahnen,19dc7f68-bf0a-4437-b1c1-2dd997d16632,"Elastomer joint tape, polyurethane",0.28878424070225794,1,1,0.4155136962809032
PIB-Dachbahnen (Polyisobutylen),8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
PP-/PE Folie,a122b12f-ae8c-4806-b78c-ba5389bbd52f,"Joint sealing strips, PE/PP foil",0.31466653470328254,1,1,0.425866613881313
Blähglasgranulatplatte,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Blähperlit-Platten,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
DFF: Alu-Kunststoff-Komposit [kg/m² Rahmen],b1052ab1-97a9-45a1-810a-cdd0a3b1f07a,Biogas (1 kg),0.19967173183129944,1,1,0.3798686927325198
DFF: Kunststoffrahmen PVC  [kg/m² Rahmen],b1052ab1-97a9-45a1-810a-cdd0a3b1f07a,Biogas (1 kg),0.23066026678758378,1,1,0.39226410671503353
Kunststoffrahmen PVC mit Aludeckschale [kg/m² Rahmen],b1052ab1-97a9-45a1-810a-cdd0a3b1f07a,Biogas (1 kg),0.21197329274041024,1,1,0.38478931709616415
DFF: Alu-Holz-Komposit-Rahmen [kg/m² Rahmen],b1052ab1-97a9-45a1-810a-cdd0a3b1f07a,Biogas (1 kg),0.1685884434066205,1,1,0.3674353773626482
"Holzrahmen Fichte mit Aludeckschale [kg/m² Rahmen] t=0,088 ",896ea45c-a831-46a4-883f-d4bb4f1d661e,Biogas (1 kg),0.18596385265574725,1,1,0.37438554106229893
"Holzrahmen Lärche mit Aludeckschale [kg/m² Rahmen] t=0,088 ",896ea45c-a831-46a4-883f-d4bb4f1d661e,Biogas (1 kg),0.18596385265574725,1,1,0.37438554106229893
"Holzrahmen PH mit Aludeckschale [kg/m² Rahmen] t=0,155 ",896ea45c-a831-46a4-883f-d4bb4f1d661e,Biogas (1 kg),0.1831248702543175,1,1,0.373249948101727
DFF: Alu-Holz-Komposit-Rahmen [kg/m² Rahmen] ohne HSM,b1052ab1-97a9-45a1-810a-cdd0a3b1f07a,Biogas (1 kg),0.15121755169254944,1,1,0.36048702067701976
"Holzrahmen Fichte mit Aludeckschale [kg/m² Rahmen] t=0,088 ohne HSM",896ea45c-a831-46a4-883f-d4bb4f1d661e,Biogas (1 kg),0.16337775029516793,1,1,0.3653511001180672
"Holzrahmen Lärche mit Aludeckschale [kg/m² Rahmen] t=0,088 ohne HSM",896ea45c-a831-46a4-883f-d4bb4f1d661e,Biogas (1 kg),0.16337775029516793,1,1,0.3653511001180672
"Holzrahmen PH mit Aludeckschale [kg/m² Rahmen] t=0,155 ohne HSM",896ea45c-a831-46a4-883f-d4bb4f1d661e,Biogas (1 kg),0.16144257406620732,1,1,0.364577029626483
"DFF: Holzrahmen Fichte, beschichtet [kg/m² Rahmen]",896ea45c-a831-46a4-883f-d4bb4f1d661e,Biogas (1 kg),0.197244186798522,1,1,0.37889767471940883
"DFF: Holzrahmen Lärche, beschichtet [kg/m² Rahmen]",896ea45c-a831-46a4-883f-d4bb4f1d661e,Biogas (1 kg),0.197244186798522,1,1,0.37889767471940883
OSB Platte,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Mineralwolle (Boden-Dämmung),8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Mineralwolle (Fassaden-Dämmung),8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Mineralwolle (Flachdach-Dämmung),8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Mineralwolle (Innenausbau-Dämmung),8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Mineralwolle (Schrägdach-Dämmung),8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
EPS-Hartschaumdämmung - Sz. Creasolv,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
EPS-Hartschaumdämmung - Sz. Verbrennung,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Schüttung aus Polystyrolschaumstoff-Partikeln (ohne Bindemittel),8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
"Innentür Metallzarge lackiert, Gewicht/lfm, d (IW)=10cm",8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
"Innentür Metallzarge lackiert, Gewicht/lfm, d (IW)=20cm",8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
"Innentür Metallzarge lackiert, Gewicht/Stk, d (IW)=10cm, Türlichte 0,9 x 2,0",8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
"Innentür Metallzarge lackiert, Gewicht/Stk, d (IW)=20cm, Türlichte 0,9 x 2,0",8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Hanfdämmplatte (druckbelastet),8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Hanfdämmplatte (nicht druckbelastet),8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Gips-Kalk-Putz auf Massivbaustoff,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Gipsputz (innen),8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Kalk-Gips-Innenputz auf Massivbaustoff,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Glaskeramik-Tafeln (Fassade),8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Hartholzfaser-Platten,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
HDF-Platte,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
MDF-Platte,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
"Hochlochziegel (hochporosiert), ohne Mörtel / Kleb.",8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
"Hochlochziegel mineralisch gefüllt, ohne Mörtel / Kleb.",8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Holzdielenboden - unproblem. Beschichtet,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
"Innentür (Pappe mit Wabenstruktur), Fl.gew.8 kg/m², laminiert oder lackiert ",896ea45c-a831-46a4-883f-d4bb4f1d661e,Biogas (1 kg),0.15175183057986522,1,1,0.3607007322319461
"Innentür (Röhrenspanplatte), Fl.gew.15 kg/m², laminiert oder lackiert ",b1052ab1-97a9-45a1-810a-cdd0a3b1f07a,Biogas (1 kg),0.1656512197320174,1,1,0.36626048789280696
"Innentür (Röhrenspanstreifen), Fl.gew.12 kg/m², laminiert oder lackiert ",b1052ab1-97a9-45a1-810a-cdd0a3b1f07a,Biogas (1 kg),0.16674778253722353,1,1,0.36669911301488944
"Innentür (Vollspanplatte), Fl.gew.23 kg/m², laminiert oder lackiert",b1052ab1-97a9-45a1-810a-cdd0a3b1f07a,Biogas (1 kg),0.16481858337044816,1,1,0.3659274333481793
"Innentür (Vollspanplatte), Fl.gew.34 kg/m², laminiert oder lackiert",896ea45c-a831-46a4-883f-d4bb4f1d661e,Biogas (1 kg),0.15942572169324346,1,1,0.3637702886772974
"Innentür Massivholz, lackiert, Fl.gewicht 12 kg/m²",b1052ab1-97a9-45a1-810a-cdd0a3b1f07a,Biogas (1 kg),0.19182523260604048,1,1,0.3767300930424162
"Innentür Massivholz, unbehandelt oder geölt, Fl.gew. 12 kg/m²",b1052ab1-97a9-45a1-810a-cdd0a3b1f07a,Biogas (1 kg),0.16092460226945365,1,1,0.36436984090778146
Leichtputz mineralisch (mineral. Untergrund),8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Silikat-Dispersionsputz (mineral. Untergrund),8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Silikatputz,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Silikonharzputz,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Lehmbauplatte,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Lehmfarbe,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Lehm-Klebe- und Haftmörtel,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Lehmputz,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Lehmputz mit CL-Nachweis,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Lehmschüttung granuliert,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Lehmstein,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Stampflehmwand,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Lehmschüttung granuliert mit CL-Nachweis ,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Leichtlehm (Stroh-Lehm-Gemisch),8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Leichtlehmputz,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
"Lichtkuppel Aufsatzkranz, PP Schürze 30cm [kg/lfm]",896ea45c-a831-46a4-883f-d4bb4f1d661e,Biogas (1 kg),0.1777852016195106,1,1,0.37111408064780427
Magnesiaestrich / Steinholzestrich,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
PE Weichschaum,fc1c6f12-1e04-4c51-9836-81a4d7743528,Drinking water pipe PE X-Alu-PE X,0.28341784093581884,1,1,0.41336713637432754
PE-Drainageplatten,fc1c6f12-1e04-4c51-9836-81a4d7743528,Drinking water pipe PE X-Alu-PE X,0.28341784093581884,1,1,0.41336713637432754
PVC-Dachbahnen,658b2d08-fd24-4d43-a469-203d594b2278,PVC Plastisol,0.2814663709813363,1,1,0.41258654839253456
Schafwolle (mit Flammschutzmittel),8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Schafwolle (ohne Zusatzstoffe),8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Schaumglasgranulat Schüttung,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Schilfrohrdämmmatte,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Schilfrohrmatte (Putzträger),8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
"Splitt 2/8, dauerelastisch gebunden (Latex, sonstige Polymere)",8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Splittschüttung mineral. geb.,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Splittschüttung mineral. geb.,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Splittschüttung mineral. geb.,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Wood-Plastic-Composites,432e4b39-301e-4154-ac8a-ac635d6c36ad,Plastic profile EPDM,0.2744626930691231,1,1,0.40978507722764923
